question_text,answer_text,source
Peter Parker works for which newspaper?,The Daily Bugle,General
The Welland Canal links Lake Erie with which lake?,Lake Ontario,General
In what movie was Coolio’s Gangster’s Paradise the theme song?,Dangerous Minds,General
In what city was the first Hard Rock Cafe opened?,London,General
What is the term for the disorder of a system?,Entropy,General
Which motor company’s emblem is a prancing horse?,Ferrari,General
In which U.S. state did 4 out of every 10 immigrants settle during the 1980s?,California,General
"In Monopoly, what is the prize money for finishing second in a beauty contest?",$10,General
Who had a hit with the song Walking on Sunshine?,Katrina & The Waves,General
What type of person believes the existence of God cannot be proven or denied?,An agnostic,General
Metrophobia is the fear of what?,Poetry,General
What is the active ingredient in smelling salts?,Ammonia,General
In what decade was the Eurovision Song Contest first broadcast?,The 1950s,General
What was the name of Sonic the Hedgehog’s sidekick?,Tails,General
Which comedy film featured Ben Stiller as the owner of Globo Gym?,Dodgeball,General
How many little squares are on a Rubik’s Cube (the visible individual stickers)?,54,General
"Vodka, triple sec, and lime juice are the ingredients in which drink?",The Kamikaze,General
"Maine, New Hampshire, Vermont, and New York all border which Canadian province?",Quebec,General
Who was the rapper murdered in a Las Vegas drive-by shooting in September of 1996?,Tupac Shakur,General
The deep-dish pizza was invented in which U.S. city?,Chicago,General
Which country hosted the 1998 FIFA World Cup?,France,General
Who was the only person to be both Vice President and President after resignations?,Gerald Ford,General
"When Jerry and George were making a sitcom (in Seinfeld), who played George?",Jeremy Piven (in the show’s storyline pilot),General
"In The Hangover, what did Alan name the baby?",Carlos,General
What country was previously known as Aden (on the Arabian Peninsula)?,Yemen,General
A Tayberry is a mix of which two berries?,Raspberry and blackberry,General
"When Guy LaFleur returned to hockey after retirement, which team did he go to?",The New York Rangers,General
Which product was Michael Jackson advertising when his hair famously caught on fire?,Pepsi,General
Which U.S. state is nicknamed The Volunteer State?,Tennessee,General
Which two pieces are involved in the move called castling?,The king and the rook,General
What is the 4th Harry Potter book called?,The Goblet of Fire,General
What is the Roman numeral for the year 2025?,MMXXV,General
The ostrich is native to which continent?,Africa,General
Who was the first woman to win two Nobel Prizes?,Marie Curie,General
Mr. Big chocolate bar is manufactured by which British company?,Cadbury,General
"Three different actors (Tobey Maguire, Andrew Garfield, Tom Holland) all portrayed which superhero?",Spider-Man,General
Kitchen Confidential was written by whom?,Anthony Bourdain,General
"After developing the HD VCR, which Japanese company was overtaken two years later by the Blu-ray DVD?",Toshiba,General
Jack Bauer was the main character in which TV series?,24,General
For which college did Peyton Manning play football?,The University of Tennessee,General
David Bowie and Queen had a massive hit in the 80s with which song?,Under Pressure,General
Which train was called the king of trains and the train of kings?,The Orient Express,General
Where in the body are red blood cells produced?,The bone marrow,General
Which American businessman wrote the autobiography The Snowball?,Warren Buffett,General
"Estonia, Latvia, and Lithuania are collectively known by what name?",The Baltic countries,General
What is the largest living fish?,The whale shark,General
Which country began the Age of Exploration (The Age of Discovery)?,Portugal,General
What is the documentary about doping in cycling that exposed a major scandal?,Icarus,General
"In the show Friends, which character’s catchphrase was How you doin’?",Joey Tribbiani,General
Which NHL team won the Stanley Cup in 2021?,The Tampa Bay Lightning,General
Which female pop star’s hits include Bad Romance and Poker Face?,Lady Gaga,General
Which country introduced the high-speed train known as the Shinkansen?,Japan,General
Which organ pumps blood throughout the human body?,The heart,General
